Country,Total Cases,Total Deaths,Population,Area,Pop. Density,Coast/Area Ratio,Net Migration,Infant Mortality,GDP,Phones per 1000,Birthrate,Deathrate
Faroe Islands,620,0,48957,1399,33.8,79.84,1.41,6.24,22000,503.8,14.05,8.7
Fiji,49,2,899735,18270,49.6,6.18,-3.14,12.62,5800,112.6,22.55,5.65
Finland,36772,561,5545098,338145,15.5,0.37,0.95,3.57,27400,405.3,10.45,9.86
France,2643239,64921,65346936,547030,111.3,0.63,0.66,4.26,27600,586.4,11.99,9.14
French Guiana,13288,71,302547,91000,2.2,0.42,6.27,12.07,8300,255.6,20.46,4.88
French Polynesia,16926,114,281731,4167,65.9,60.6,2.94,8.44,17500,194.5,16.68,4.69
Gabon,9571,64,2252002,267667,5.3,0.33,0,53.64,5500,27.4,36.16,12.25
Gambia,3800,124,2450501,11300,145.3,0.71,1.57,72.02,1700,26.8,39.37,12.25
Georgia,229169,2603,3985263,69700,66.9,0.44,-4.7,18.59,2500,146.6,10.41,9.23
Germany,1776411,34925,83920039,357021,230.9,0.67,2.18,4.16,27600,667.9,8.25,10.62
Ghana,55168,335,31398070,239460,93.6,0.23,-0.64,51.43,2200,14.4,30.52,9.72
Gibraltar,2304,7,33686,7,3989.7,171.43,0,5.13,17500,877.7,10.74,9.31
Greece,140099,4957,10397049,131940,81,10.37,2.35,5.53,20000,589.7,9.68,10.24
Greenland,27,0,56820,2166086,0,02.04,-8.37,15.82,20000,448.9,15.93,7.84
Grenada,127,0,112788,344,260.8,35.17,-13.92,14.62,5000,364.5,22.08,6.88
Guadeloupe,8660,154,400159,1780,254.4,17.19,-0.15,8.6,8000,463.8,15.05,06.09
Guatemala,138475,4833,18082007,108890,112.9,0.37,-1.67,35.93,4100,92.1,29.88,5.2
Guinea,13784,81,13310451,245857,39.4,0.13,-3.06,90.37,2100,2.7,41.76,15.48
Guinea-Bissau,2452,45,1991265,36120,39.9,0.97,-1.57,107.17,800,7.4,37.22,16.53
Guyana,6351,164,788478,214970,3.6,0.21,-2.07,33.26,4000,143.5,18.28,8.28
Haiti,10077,236,11472681,27750,299.4,6.38,-3.4,73.45,1600,16.9,36.44,12.17
Honduras,123144,3173,9983883,112090,65.4,0.73,-1.99,29.32,2600,67.5,28.24,5.28
Hong Kong,8965,150,7527771,1092,6355.7,67.12,5.24,2.97,28800,546.7,7.29,6.29
Hungary,327995,9884,9647841,93030,107.3,0,0.86,8.57,13900,336.2,9.72,13.11
